artists,album_name,track_name,danceability,energy,track_genre
KT Tunstall,sadsadchristmas,Lonely This Christmas,0.409,0.153,acoustic
Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0.474,0.519,acoustic
Brandi Carlile,Mellow Adult Pop,When You're Wrong,0.568,0.301,acoustic
Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0.476,0.666,acoustic
Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0.568,0.686,acoustic
Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0.568,0.686,acoustic
Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,0.596,0.2,acoustic
Motohiro Hata,Documentary,透明だった世界,0.373,0.914,acoustic
Andrew Belle,Black Bear,Pieces,0.494,0.652,acoustic
Ron Pope,The Bedroom Demos,A Drop in the Ocean,0.447,0.393,acoustic
Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,0.576,0.331,acoustic
Andrew Belle,Black Bear,The Enemy,0.536,0.89,acoustic
Aron Wright,Build It Better,Build It Better,0.526,0.333,acoustic
Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0.501,0.381,acoustic
Sara Bareilles,Little Voice,Gravity,0.27,0.275,acoustic
Chord Overstreet,What's Left of You,What's Left of You,0.731,0.507,acoustic
Zack Tabudlo,Pano,Pano,0.375,0.457,acoustic
Andrew Belle,The Daylight EP,Sky's Still Blue,0.43,0.791,acoustic
Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,0.616,0.282,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,0.705,0.347,acoustic
Tim Halperin,Covers,Always Be My Baby,0.582,0.255,acoustic
Canyon City,Midnight Waves,Alone with You,0.549,0.274,acoustic
Aaron Espe,Making All Things New,Making All Things New,0.787,0.355,acoustic
Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,0.397,0.303,acoustic
Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,0.548,0.42,acoustic
Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),0.787,0.403,acoustic
Ron Pope,Whatever It Takes,A Drop In the Ocean,0.484,0.573,acoustic
Five For Fighting,America Town,Superman (It's Not Easy),0.382,0.416,acoustic
Andrew Belle,Dive Deep,When the End Comes,0.541,0.575,acoustic
Bailey Jehl,You're Still The One,You're Still The One,0.607,0.473,acoustic
Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,0.417,0.595,acoustic
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,0.572,0.454,acoustic
A Great Big World,When the Morning Comes,Kaleidoscope,0.709,0.913,acoustic
Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,0.537,0.342,acoustic
Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,0.602,0.336,acoustic
Jason Mraz,Know.,Have It All,0.643,0.638,acoustic
Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,0.451,0.7,acoustic
Gabrielle Aplin,Break Up Songs,The House We Never Built,0.546,0.391,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,0.561,0.327,acoustic
Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,0.479,0.541,acoustic
Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,0.479,0.541,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,0.436,0.4,acoustic
Sara Bareilles,The Blessed Unrest,Brave,0.551,0.836,acoustic
KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,0.409,0.153,acoustic
KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,0.409,0.153,acoustic
Five For Fighting,Bookmarks,Heaven Knows,0.6,0.845,acoustic
The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,0.447,0.555,acoustic
The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0.492,0.145,acoustic
KT Tunstall,Del gusto de mamá,Hold On,0.661,0.937,acoustic
KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0.603,0.78,acoustic
Motohiro Hata,言ノ葉,Rain,0.626,0.655,acoustic
Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,0.794,0.38,acoustic
Andrew Belle,Black Bear (Hushed),Pieces (Hushed),0.52,0.279,acoustic
Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,0.545,0.658,acoustic
Boyce Avenue,Stand by Me,Stand by Me,0.728,0.266,acoustic
Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,0.66,0.407,acoustic
Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,0.357,0.161,acoustic
John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,0.479,0.154,acoustic
Kitri,Hikare Inochi,Hikare Inochi,0.592,0.769,acoustic
Tyler Ward,Songs From Nashville,How To Lose a Girl,0.7,0.454,acoustic
Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,0.402,0.197,acoustic
Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),0.507,0.378,acoustic
Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),0.619,0.226,acoustic
Augustana,All The Stars and Boulevards,Boston,0.404,0.571,acoustic
Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,0.418,0.79,acoustic
Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,0.633,0.299,acoustic
Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),0.565,0.0392,acoustic
Kina Grannis,You Are My Sunshine,You Are My Sunshine,0.664,0.0755,acoustic
Jason Mraz,I Won't Give Up,I Won't Give Up,0.585,0.303,acoustic
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,0.65,0.271,acoustic
Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,0.534,0.213,acoustic
Catherine Feeny,Hurricane Glass,Mr Blue,0.456,0.386,acoustic
Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,0.409,0.234,acoustic
Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,0.502,0.53,acoustic
JJ Heller,You Already Know,You Already Know,0.496,0.117,acoustic
Ben Woodward,Believer (Remix),Believer (Remix),0.585,0.724,acoustic
Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,0.582,0.253,acoustic
Ben Rector,Magic,Love Like This,0.637,0.14,acoustic
Matt Nathanson,Some Mad Hope,Come On Get Higher,0.672,0.623,acoustic
Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",0.422,0.272,acoustic
Parachute,The Way It Was,Kiss Me Slowly,0.47,0.801,acoustic
Parachute,Wide Awake,Without You,0.564,0.864,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,0.521,0.495,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Sleep All Day,0.616,0.81,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),You and I Both,0.615,0.812,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,0.478,0.305,acoustic
Gabrielle Aplin,English Rain,Please Don't Say You Love Me,0.479,0.541,acoustic
KT Tunstall,Eye To The Telescope,Suddenly I See,0.587,0.767,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,0.514,0.569,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),No Stopping Us,0.646,0.836,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),I'll Do Anything,0.57,0.711,acoustic
JJ Heller,I Dream of You: CALM,Make You Feel My Love,0.678,0.199,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Remedy (I Won't Worry),0.589,0.867,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Too Much Food,0.626,0.926,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Boy's Gone,0.686,0.556,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"On Love, in Sadness",0.56,0.832,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,0.619,0.793,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again - Live",0.56,0.278,acoustic
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again",0.595,0.805,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,0.438,0.827,acoustic
Susie Suh;Robot Koch,Here with Me,Here with Me,0.582,0.375,acoustic
Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",The Scientist,0.453,0.295,acoustic
Howie Day,Stop All The World Now,Collide,0.636,0.625,acoustic
Eden Elf;Ren Avel,get better,get better,0.639,0.201,acoustic
Kitri,Hikare Inochi,Sympathy,0.69,0.423,acoustic
Boyce Avenue;Rachel Grae,Let It Go,Let It Go,0.599,0.349,acoustic
Chord Overstreet,What You Need,What You Need,0.519,0.264,acoustic
Five For Fighting,The Battle for Everything,100 Years,0.643,0.569,acoustic
Andrew Belle,Nightshade,You're the Sea,0.573,0.624,acoustic
Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",No Direction,0.654,0.821,acoustic
Cary Brothers,Under Control,Belong,0.426,0.399,acoustic
The Mayries,As It Was,As It Was,0.505,0.21,acoustic
Jason Mraz,I'm Yours,I'm Yours,0.693,0.43,acoustic
Joseph Sullinger,Chi Mai,Chi Mai,0.739,0.287,acoustic
A Great Big World;Christina Aguilera,Say Something,Say Something,0.453,0.146,acoustic
Parachute,Parachute,Had It All,0.606,0.54,acoustic
Zack Tabudlo;Yonnyboii,Take Me Back,Take Me Back ft. Yonnyboii,0.595,0.646,acoustic
Tobey Rosen,Whole Again (Acoustic Version),Whole Again - Acoustic Version,0.736,0.145,acoustic
The Mayries,Overpass Graffiti,Overpass Graffiti,0.479,0.126,acoustic
Sara Bareilles,Little Voice,Love Song,0.583,0.786,acoustic
Andrew Foy;Renee Foy,Let Her Go,Let Her Go,0.549,0.291,acoustic
Aqualung,Still Life,Brighter Than Sunshine,0.418,0.489,acoustic
Tyler Ward;Karis;Ray Lorraine,Love Story,Love Story,0.498,0.12,acoustic
Agustín Amigó;Nylonwings,Mujer con Abanico,Mujer con Abanico,0.769,0.135,acoustic
Amy Stroup,In the Shadows,In the Shadows,0.434,0.469,acoustic
Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,Can You Feel the Love Tonight,0.452,0.198,acoustic
Brandi Carlile,The Story,The Story,0.544,0.5,acoustic
JJ Heller,Better,Better,0.662,0.187,acoustic
Kina Grannis,Iris,Iris,0.497,0.13,acoustic
The Mayries,#Acoustic,Rockabye - Acoustic Version,0.528,0.291,acoustic
Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,I Need You More Today,0.461,0.522,acoustic
Boyce Avenue,"Cover Sessions, Vol. 4",Beautiful Soul,0.483,0.506,acoustic
Jason Mraz,Know.,Let's See What The Night Can Do,0.392,0.423,acoustic
Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",0.42,0.2,acoustic
Parachute,The Way It Was,Forever And Always,0.657,0.716,acoustic
Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,Fine On The Outside,0.495,0.185,acoustic
Chord Overstreet,Tree House Tapes,Tortured Soul,0.55,0.499,acoustic
JJ Heller,I Believe in You,I Believe in You,0.534,0.359,acoustic
Jon Bryant,Cult Classic,At Home,0.378,0.52,acoustic
Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine",0.606,0.349,acoustic
Ross Copperman,Holding On and Letting Go LP,Holding On and Letting Go,0.486,0.555,acoustic
Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Flood,0.577,0.446,acoustic
Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),Hanggang Kailan (Umuwi Ka Na Baby),0.59,0.407,acoustic
Stephen Speaks,No More Doubt,Out of My League,0.538,0.315,acoustic
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,0.447,0.158,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,0.401,0.58,acoustic
The Weepies;Deb Talan;Steve Tannen,Say I Am You,World Spins Madly On,0.502,0.311,acoustic
Freddie King,Thanksgiving Party,Stumble,0.678,0.612,acoustic
Taj Mahal,Supa Chill,Paradise,0.65,0.406,acoustic
Keb' Mo';Gerald Albright,Un tecito y a mimir,"Moonlight, Mistletoe & You",0.649,0.399,acoustic
Motohiro Hata,青の光景,ひまわりの約束,0.523,0.445,acoustic
Thomas Daniel,Since U Been Gone,Since U Been Gone - Acoustic Version,0.538,0.162,acoustic
Masayoshi Yamazaki,"One more time,One more chance","One more time,One more chance",0.519,0.429,acoustic
Kina Grannis,Creep,Creep,0.585,0.103,acoustic
Todd Carey;Ariza;Chuck Leavell,Higher Love,Higher Love,0.578,0.763,acoustic
YUZU,Shinsekai,Hyouriittai,0.223,0.891,acoustic
Canyon City,How Long Will I Love You,How Long Will I Love You,0.382,0.157,acoustic
Zack Tabudlo,Binibini,Binibini,0.642,0.374,acoustic
Aron Wright,You Were Supposed to Be Different,You Were Supposed to Be Different,0.436,0.239,acoustic
Boyce Avenue,"Cover Sessions, Vol. 3",Thinking out Loud,0.702,0.326,acoustic
Jonah Baker,Covers,Perfect / Style,0.593,0.292,acoustic
The Civil Wars,Barton Hollow,Poison & Wine,0.285,0.186,acoustic
Howie Day,Stop All The World Now,Collide,0.636,0.625,acoustic
Ingrid Michaelson,Be OK,You And I,0.698,0.285,acoustic
Zack Tabudlo;Billkin,Give Me Your Forever,Give Me Your Forever (ft. Billkin),0.601,0.439,acoustic
Landon Pigg,Coffee Shop,Falling in Love at a Coffee Shop,0.332,0.298,acoustic
Anna Nalick,Wreck of the Day,Breathe (2 AM),0.386,0.452,acoustic
Zack Tabudlo,Episode,Habang Buhay,0.62,0.668,acoustic
Jonah Baker,Beautiful Soul,Beautiful Soul,0.394,0.281,acoustic
Ben Woodward,Bulletproof,Bulletproof,0.59,0.552,acoustic
Andrew Belle,Nightshade,Spectrum,0.539,0.717,acoustic
Jonah Baker,Girls Like You (Acoustic Version),Girls Like You - Acoustic Version,0.543,0.138,acoustic
Zack Tabudlo,Nangangamba,Nangangamba,0.62,0.547,acoustic
Us The Duo,Better Together,Better Together,0.761,0.311,acoustic
Andrew Foy;Renee Foy,Heartbreak Anniversary,Heartbreak Anniversary,0.674,0.122,acoustic
Tyler Ward;Karis;Ray Lorraine,One More Time Around,One More Time Around,0.429,0.358,acoustic
A Great Big World,流星花園音樂專輯,Say Something,0.456,0.101,acoustic
Zack Tabudlo,Episode,Heart Can’t Lose,0.647,0.567,acoustic
Donovan Woods;Tenille Townes,The Other Way,I Ain't Ever Loved No One - Acoustic,0.322,0.213,acoustic
Ray LaMontagne,Till The Sun Turns Black,Empty,0.482,0.381,acoustic
Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)","See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",0.393,0.207,acoustic
Tim Halperin,Covers,The Reason,0.423,0.207,acoustic
Canyon City,Refuge,Fix You,0.522,0.152,acoustic
JJ Heller,Hand to Hold,Hand to Hold,0.547,0.313,acoustic
Ray LaMontagne,Trouble,Hold You in My Arms,0.504,0.321,acoustic
Us The Duo,Public Record,One Last Dance,0.466,0.161,acoustic
Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",Heaven,0.619,0.28,acoustic
Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Spark - Bonus Track,0.596,0.429,acoustic
Drew Holcomb & The Neighbors,Medicine,American Beauty,0.645,0.169,acoustic
Ray LaMontagne,Part Of The Light,Such A Simple Thing,0.522,0.256,acoustic
Amos Lee,Amos Lee,Colors,0.681,0.168,acoustic
Boyce Avenue,"Cover Sessions, Vol. 6",Someone You Loved,0.736,0.364,acoustic
Jason Mraz;Meghan Trainor,Know.,More Than Friends (feat. Meghan Trainor),0.451,0.528,acoustic
Days N Daze,Show Me the Blueprints.,Flurry Rush,0.371,0.674,acoustic
Sara Bareilles,The Blessed Unrest,I Choose You,0.731,0.572,acoustic
Mindy Gledhill,Anchor,I Do Adore,0.69,0.334,acoustic
Dave Barnes,Christmas Faves 2022,I'll Be Home For Christmas,0.594,0.307,acoustic
Get Dead,Tall Cans & Loose Ends,Fuck You,0.608,0.917,acoustic
Albert King,pov: you have a holly jolly christmas,Christmas Comes But Once A Year,0.687,0.494,acoustic
Albert King,pov: you rock around the christmas tree,Christmas Comes But Once A Year,0.687,0.494,acoustic
John Adams,If I Ain't Got You (Acoustic),If I Ain't Got You - Acoustic,0.652,0.15,acoustic
John Adams,Believe (Acoustic),Believe - Acoustic,0.765,0.241,acoustic
Adam Christopher,Iris (Acoustic),Iris - Acoustic,0.589,0.249,acoustic
Motohiro Hata,言ノ葉,Rain - Long Ver.,0.588,0.604,acoustic
Aoi Teshima,Cheek to Cheek~I Love Cinemas~,C'est si bon,0.735,0.203,acoustic
Jonah Baker,Baby (Acoustic Version),Baby (Acoustic Version),0.655,0.147,acoustic
YUZU,Land,Reason,0.363,0.819,acoustic
Boyce Avenue;Emma Heesters,I Like Me Better,I Like Me Better,0.473,0.263,acoustic
Zack Tabudlo,Asan Ka Na Ba,Asan Ka Na Ba,0.676,0.768,acoustic
Boyce Avenue,"Cover Sessions, Vol. 3",A Thousand Years,0.41,0.221,acoustic
Thomas Daniel,drivers license,drivers license,0.439,0.217,acoustic
Jason Mraz,YES!,Love Someone,0.582,0.347,acoustic
Jae Hall,The Winner Takes It All (Acoustic),The Winner Takes It All - Acoustic,0.426,0.127,acoustic
Aaron Espe,Only Time,Only Time,0.696,0.261,acoustic
A Fine Frenzy,One Cell In The Sea,Almost Lover,0.549,0.24,acoustic
Roses & Frey,Dance Monkey,Dance Monkey,0.541,0.192,acoustic
Parachute,Parachute,Ocean,0.662,0.711,acoustic
Kina Grannis,Dream a Little Dream of Me,Dream a Little Dream of Me,0.665,0.185,acoustic
The Mayries,Back For Good,Back For Good,0.591,0.175,acoustic
Canyon City,OK,OK,0.489,0.183,acoustic
Andrew Foy;Renee Foy,Just The Two Of Us,Just The Two Of Us,0.618,0.083,acoustic
Boyce Avenue,"Cover Sessions, Vol. 6",Hey There Delilah,0.664,0.319,acoustic
Andrew Foy;Renee Foy,Arcade,Arcade,0.408,0.266,acoustic
Kina Grannis,Yellow,Yellow,0.623,0.132,acoustic
Roses & Frey,Wake Me Up,Wake Me Up,0.494,0.214,acoustic
Aidan Hawken,Walking Blind (feat. Carina Round),Walking Blind,0.374,0.183,acoustic
Jon Bryant,Headphones,Headphones,0.559,0.455,acoustic
The Rescues,Teenage Dream,Teenage Dream,0.642,0.408,acoustic
Ivan & Alyosha,The Worth Of The Wait,The Worth Of The Wait,0.48,0.618,acoustic
Kina Grannis,Can't Help Falling In Love (Piano Version),Can't Help Falling In Love - Piano Version,0.271,0.0937,acoustic
Austin Plaine,Austin Plaine,Never Come Back Again,0.594,0.695,acoustic
Chord Overstreet,Love You To Death,Love You To Death,0.574,0.344,acoustic
Plamina,Someone You Loved (Acoustic),Someone You Loved - Acoustic,0.647,0.298,acoustic
Kina Grannis;Imaginary Future,What a Wonderful World,What a Wonderful World,0.486,0.0399,acoustic
Andrew Foy;Renee Foy,You Broke Me First,You Broke Me First,0.734,0.0423,acoustic
Joshua Hyslop,Echos,Long Way Down,0.711,0.231,acoustic
Parachute,Losing Sleep,She Is Love,0.629,0.174,acoustic
Phillip LaRue,The Meaning,Marigold,0.615,0.406,acoustic
krissy & ericka,Twelve: Fifty One (International Version),12:51,0.503,0.357,acoustic
Takehara Pistol,リョウメンシダ/サンサーラ,サンサーラ,0.45,0.183,acoustic
Allman Brown;Liz Lawrence,1000 Years,Sons and Daughters,0.525,0.461,acoustic
Ben Rector,Brand New,Brand New,0.555,0.934,acoustic
The Weepies;Deb Talan;Steve Tannen,Say I Am You,Gotta Have You,0.678,0.363,acoustic
Ben Rector,Brand New,"30,000 Feet",0.555,0.452,acoustic
Eddy Tyler,Guitar Instrumental Covers,A Thousand Years,0.586,0.396,acoustic
Ray LaMontagne,Trouble,Jolene,0.588,0.142,acoustic
Eddie Vedder,Into The Wild (Music For The Motion Picture),No Ceiling,0.724,0.652,acoustic
Joy Williams,Front Porch,Front Porch,0.567,0.224,acoustic
Days N Daze,Rogue Taxidermy,Goodbye Lulu,0.544,0.839,acoustic
Ray LaMontagne,Cruising,Three More Days,0.555,0.68,acoustic
Callum J Wright,Isn't She Lovely (Acoustic),Isn't She Lovely - Acoustic,0.69,0.306,acoustic
Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 4",We Could Still Be Happy,0.513,0.317,acoustic
John Adams,Fix You (Acoustic),Fix You - Acoustic,0.494,0.152,acoustic
Lusaint,I'm Yours (Acoustic),I'm Yours - Acoustic,0.634,0.267,acoustic
Boyce Avenue;Sarah Hyland,"Cover Sessions, Vol. 4",Closer,0.694,0.471,acoustic
Mother's Daughter;Beck Pete,A Sky Full of Stars,A Sky Full of Stars,0.643,0.11,acoustic
Aron Wright,I Don't Believe in Satan,I Don't Believe in Satan,0.422,0.41,acoustic
The Perishers,Let There Be Morning (Bonus Track Version),Pills,0.543,0.288,acoustic
Tyler Ward;Madysyn,he said. she said.,Shallow - Acoustic,0.332,0.282,acoustic
Jonah Baker,Watermelon Sugar (Acoustic),Watermelon Sugar - Acoustic,0.43,0.121,acoustic
Matt Johnson;Jaclyn Davies,Say You Won't Let Go (Acoustic),Say You Won't Let Go - Acoustic,0.432,0.197,acoustic
Kitri,Hikare Inochi,Hikare Inochi,0.592,0.769,acoustic
Ben Woodward,Call You Mine (Acoustic Piano),Call You Mine (Acoustic Piano),0.733,0.297,acoustic
Kina Grannis,In the Waiting,For Now,0.394,0.249,acoustic
Greg Laswell,Three Flights From Alto Nido,Sweet Dream,0.41,0.234,acoustic
Andrew Foy,Love Nwantiti,Love Nwantiti,0.48,0.158,acoustic
Ross Copperman,Stars Are on Your Side,Stars Are on Your Side,0.255,0.625,acoustic
Jonah Baker;Sara Phillips,Covers,We Don't Talk Anymore / Cold (feat. Sara Phillips),0.524,0.328,acoustic
Joe Brooks,Constellation Me,Superman,0.464,0.653,acoustic
Boyce Avenue,"Cover Sessions, Vol. 5",Chasing Cars,0.659,0.331,acoustic
Zack Tabudlo,Episode,Calm Me Down,0.592,0.49,acoustic
Masaharu Fukuyama,KISSして,KISSして,0.467,0.851,acoustic
Zack Tabudlo;James TW,Binibini (Last Day On Earth),Binibini (Last Day On Earth) (feat. James TW),0.564,0.391,acoustic
Ciaran Lavery,Kosher,Left for America,0.498,0.384,acoustic
John Frusciante,To Record Only Water For Ten Days (U.S. Version),Ramparts,0.386,0.428,acoustic
Chord Overstreet,Hold On (Acoustic),Hold On - Acoustic,0.702,0.259,acoustic
The Civil Wars,The Civil Wars,Dust to Dust,0.747,0.265,acoustic
